"","Name","Platform","Year","Genre","Publisher","NA_Sales","EU_Sales","JP_Sales","Other_Sales","Global_Sales","Critic_Score","Critic_Count","User_Score","User_Count","Developer","Rating"
"33","Grand Theft Auto IV","X360","2008","Action","Take-Two Interactive",6.76,3.07,0.14,1.03,11.01,98,86,790,2951,"Rockstar North","M"
"34","Gran Turismo","PS","1997","Racing","Sony Computer Entertainment",4.02,3.87,2.54,0.52,10.95,96,16,870,138,"Polyphony Digital","E"
"35","Super Mario 3D Land","3DS","2011","Platform","Nintendo",4.89,3,2.14,0.78,10.81,90,82,840,921,"Nintendo","E"
"36","Gran Turismo 5","PS3","2010","Racing","Sony Computer Entertainment",2.96,4.82,0.81,2.11,10.7,84,82,750,1112,"Polyphony Digital","E"
"37","Call of Duty: Modern Warfare 2","PS3","2009","Shooter","Activision",4.99,3.64,0.38,1.6,10.6,94,67,630,2073,"Infinity Ward","M"
"38","Grand Theft Auto IV","PS3","2008","Action","Take-Two Interactive",4.76,3.69,0.44,1.61,10.5,98,64,750,2833,"Rockstar North","M"
"39","Call of Duty: Ghosts","X360","2013","Shooter","Activision",6.73,2.56,0.04,0.91,10.25,73,29,260,2117,"Infinity Ward","M"
"40","Just Dance 3","Wii","2011","Misc","Ubisoft",5.95,3.11,0,1.06,10.12,74,15,780,16,"Ubisoft","E10+"
"41","New Super Mario Bros. 2","3DS","2012","Platform","Nintendo",3.66,3.14,2.47,0.63,9.9,78,70,720,424,"Nintendo","E"
"42","Halo: Reach","X360","2010","Shooter","Microsoft Game Studios",7.04,1.95,0.08,0.79,9.86,91,99,790,2045,"Bungie","M"
"43","Final Fantasy VII","PS","1997","Role-Playing","Sony Computer Entertainment",3.01,2.47,3.28,0.96,9.72,92,20,920,1282,"SquareSoft","T"
"44","Halo 4","X360","2012","Shooter","Microsoft Game Studios",6.65,2.28,0.04,0.74,9.71,87,87,700,3260,"343 Industries","M"
"45","Gran Turismo 2","PS","1999","Racing","Sony Computer Entertainment",3.88,3.42,1.69,0.5,9.49,93,23,900,135,"Polyphony Digital","T"
"46","Just Dance 2","Wii","2010","Misc","Ubisoft",5.8,2.85,0.01,0.78,9.44,74,24,730,24,"Ubisoft","E10+"
"47","Call of Duty: Ghosts","PS3","2013","Shooter","Activision",4.1,3.63,0.38,1.25,9.36,71,10,260,1047,"Infinity Ward","M"
"48","Call of Duty 4: Modern Warfare","X360","2007","Shooter","Activision",5.93,2.36,0.13,0.9,9.31,94,70,840,1320,"Infinity Ward","M"
"49","Animal Crossing: New Leaf","3DS","2012","Simulation","Nintendo",2.03,2.36,4.39,0.39,9.16,88,70,870,626,"Nintendo","E"
"50","Mario Party DS","DS","2007","Misc","Nintendo",4.4,1.85,1.98,0.68,8.91,72,27,780,85,"Hudson Soft","E"
"51","The Elder Scrolls V: Skyrim","X360","2011","Role-Playing","Bethesda Softworks",5.05,2.79,0.1,0.85,8.79,96,89,840,3589,"Bethesda Game Studios","M"
"52","FIFA 16","PS4","2015","Sports","Electronic Arts",1.12,6.12,0.06,1.28,8.57,82,42,430,896,"EA Sports","E"
"53","Halo 2","XB","2004","Shooter","Microsoft Game Studios",6.82,1.53,0.05,0.08,8.49,95,91,820,1218,"Bungie Software","M"
"54","Wii Party","Wii","2010","Misc","Nintendo",1.75,3.47,2.49,0.67,8.38,68,42,740,54,"Nd Cube","E"
"55","Mario Party 8","Wii","2007","Misc","Nintendo",3.74,2.24,1.58,0.7,8.27,62,41,630,190,"Hudson","E"
"56","FIFA Soccer 13","PS3","2012","Action","Electronic Arts",1.06,5.01,0.13,1.97,8.16,88,37,660,348,"Electronic Arts","E"
"57","Final Fantasy X","PS2","2001","Role-Playing","Sony Computer Entertainment",2.91,2.07,2.73,0.33,8.05,92,53,870,1056,"SquareSoft","T"
"58","The Sims 3","PC","2009","Simulation","Electronic Arts",0.99,6.42,0,0.6,8.01,86,75,760,886,"The Sims Studio","T"
"59","Final Fantasy VIII","PS","1999","Role-Playing","SquareSoft",2.28,1.72,3.63,0.23,7.86,90,24,860,644,"SquareSoft","T"
"60","Pokémon Platinum Version","DS","2008","Role-Playing","Nintendo",2.76,1.72,2.69,0.54,7.72,83,46,850,203,"Game Freak","E"
"61","Grand Theft Auto: Liberty City Stories","PSP","2005","Action","Take-Two Interactive",2.9,2.81,0.24,1.73,7.69,88,65,760,451,"Rockstar Leeds","M"
"62","Call of Duty: Advanced Warfare","PS4","2014","Shooter","Activision",2.81,3.48,0.14,1.23,7.66,83,39,570,1443,"Sledgehammer Games","M"
"63","FIFA 17","PS4","2016","Sports","Electronic Arts",0.66,5.75,0.08,1.11,7.59,85,41,500,398,"EA Sports, EA Vancouver","E"
"64","Super Mario Galaxy 2","Wii","2010","Platform","Nintendo",3.56,2.35,0.98,0.62,7.51,97,87,910,1854,"Nintendo EAD Tokyo","E"
"65","Call of Duty: World at War","X360","2008","Shooter","Activision",4.81,1.88,0,0.69,7.38,84,84,760,580,"Treyarch","M"
"66","Battlefield 3","X360","2011","Shooter","Electronic Arts",4.46,2.11,0.06,0.69,7.32,84,57,740,2142,"EA DICE","M"
"67","Need for Speed Underground","PS2","2003","Racing","Electronic Arts",3.27,2.83,0.08,1.02,7.2,85,33,860,171,"EA Black Box","E"
"68","Just Dance","Wii","2009","Misc","Ubisoft",3.48,2.99,0,0.73,7.2,49,21,800,110,"Ubisoft Paris","E10+"
"69","Battlefield 3","PS3","2011","Shooter","Electronic Arts",2.85,2.89,0.35,1.08,7.17,85,38,750,1761,"EA DICE","M"
"70","Fallout 4","PS4","2015","Role-Playing","Bethesda Softworks",2.53,3.27,0.24,1.13,7.16,87,58,650,4228,"Bethesda Game Studios","M"
"71","Tekken 3","PS","1998","Fighting","Sony Computer Entertainment",3.27,2.22,1.4,0.29,7.16,96,15,910,367,"Namco","T"
"72","The Legend of Zelda: Twilight Princess","Wii","2006","Action","Nintendo",3.74,2.14,0.6,0.68,7.15,95,73,900,1658,"Nintendo","T"
"73","Crash Bandicoot 3: Warped","PS","1998","Platform","Sony Computer Entertainment",3.68,1.75,1.42,0.28,7.13,91,12,890,432,"Naughty Dog","E"
"74","Mario Kart 8","WiiU","2014","Racing","Nintendo",3.15,2.15,1.28,0.51,7.09,88,82,910,1599,"Nintendo","E"
"75","Super Smash Bros. Melee","GC","2001","Fighting","Nintendo",4.41,1.04,1.39,0.22,7.07,92,38,910,568,"HAL Labs","T"
"76","Need for Speed Underground 2","PS2","2004","Racing","Electronic Arts",2.71,3.02,0.08,1.09,6.9,82,39,860,132,"EA Canada","E"
"77","Medal of Honor: Frontline","PS2","2002","Shooter","Electronic Arts",2.93,2.75,0.17,0.99,6.83,88,29,850,135,"EA LA","T"
"78","Just Dance 4","Wii","2012","Misc","Ubisoft",4.05,2.16,0,0.55,6.76,74,10,730,28,"Ubisoft","E10+"
"79","Gears of War 2","X360","2008","Shooter","Microsoft Game Studios",4.15,1.9,0.06,0.64,6.75,93,90,770,2739,"Epic Games","M"
"80","Uncharted 3: Drake's Deception","PS3","2011","Action","Sony Computer Entertainment",2.77,2.75,0.19,1.03,6.74,92,97,830,3712,"Naughty Dog","T"
"81","Call of Duty 4: Modern Warfare","PS3","2007","Shooter","Activision",3.11,2.26,0.28,1.03,6.68,94,44,840,993,"Infinity Ward","M"
"82","Uncharted 2: Among Thieves","PS3","2009","Action","Sony Computer Entertainment",3.27,2.2,0.21,0.98,6.66,96,105,880,5187,"Naughty Dog","T"
"83","Big Brain Academy","DS","2005","Misc","Nintendo",1.66,2.75,1.6,0.62,6.62,74,45,740,27,"Nintendo","E"
"84","Red Dead Redemption","PS3","2010","Action","Take-Two Interactive",2.79,2.53,0.17,0.99,6.49,95,73,880,2456,"Rockstar San Diego","M"
"85","FIFA 14","PS3","2013","Sports","Electronic Arts",0.78,4.24,0.07,1.37,6.47,86,37,430,576,"EA Canada","E"
"86","Assassin's Creed III","PS3","2012","Action","Ubisoft",2.64,2.52,0.16,1.12,6.45,85,41,690,1307,"Ubisoft","M"
"87","Donkey Kong Country Returns","Wii","2010","Platform","Nintendo",3.17,1.79,1.03,0.46,6.44,87,77,860,368,"Retro Studios","E"
"88","Halo: Combat Evolved","XB","2001","Shooter","Microsoft Game Studios",4.98,1.3,0.08,0.07,6.43,97,68,860,1283,"Bungie Software","M"
"89","The Elder Scrolls V: Skyrim","PS3","2011","Role-Playing","Bethesda Softworks",2.55,2.6,0.25,1,6.41,92,16,640,2527,"Bethesda Game Studios","M"
"90","Pokémon Emerald Version","GBA","2004","Role-Playing","Nintendo",2.57,1.58,2.06,0.21,6.41,76,28,900,222,"Game Freak","E"
"91","Kingdom Hearts","PS2","2002","Role-Playing","Sony Computer Entertainment",3.64,1.2,1.49,0.07,6.4,85,46,880,597,"SquareSoft","E"
"92","Halo 3: ODST","X360","2009","Shooter","Microsoft Game Studios",4.34,1.34,0.06,0.61,6.34,83,94,710,1163,"Bungie Software, Bungie","M"
"93","Red Dead Redemption","X360","2010","Action","Take-Two Interactive",3.7,1.95,0.09,0.58,6.32,95,96,900,2316,"Rockstar San Diego","M"
"94","Super Mario Sunshine","GC","2002","Platform","Nintendo",4.01,1.26,0.87,0.17,6.31,92,61,860,439,"Nintendo","E"
"95","World of Warcraft","PC","2004","Role-Playing","Activision",0.08,6.21,0,0,6.29,93,57,730,2182,"Blizzard Entertainment","T"
"96","Driver","PS","1999","Action","GT Interactive",3.11,2.8,0.02,0.33,6.27,87,22,810,78,"Reflections Interactive","T"
"97","Gears of War 3","X360","2011","Shooter","Microsoft Game Studios",4.05,1.59,0.07,0.5,6.21,91,96,780,1504,"Epic Games","M"
"98","Kinect Sports","X360","2010","Sports","Microsoft Game Studios",3.92,1.73,0.03,0.51,6.19,73,51,740,95,"Rare Ltd.","E10+"
"99","Gears of War","X360","2006","Shooter","Microsoft Game Studios",3.54,1.88,0.07,0.6,6.09,94,88,830,2295,"Epic Games","M"
"100","FIFA 15","PS4","2014","Sports","Electronic Arts",0.8,4.33,0.05,0.9,6.08,82,47,570,988,"EA Sports","E"
"101","Metal Gear Solid 2: Sons of Liberty","PS2","2001","Action","Konami Digital Entertainment",2.45,2.01,0.87,0.72,6.05,96,42,870,1026,"KCEJ","M"
"102","Metal Gear Solid","PS","1998","Action","Konami Digital Entertainment",3.18,1.83,0.78,0.24,6.03,94,20,940,918,"KCEJ","M"
"103","Metal Gear Solid 4: Guns of the Patriots","PS3","2008","Action","Konami Digital Entertainment",2.63,1.71,0.83,0.82,5.99,94,82,870,3558,"Kojima Productions","M"
"104","Final Fantasy XII","PS2","2006","Role-Playing","Square Enix",1.88,0,2.33,1.74,5.95,92,64,760,972,"Square Enix","T"
"105","The Last of Us","PS3","2013","Action","Sony Computer Entertainment Europe",2.41,2.18,0.28,0.99,5.87,95,98,910,8003,"Naughty Dog","M"
"106","LittleBigPlanet","PS3","2008","Platform","Sony Computer Entertainment",2.8,1.98,0.17,0.87,5.82,95,85,680,5311,"SCE/WWS, Media Molecule","E"
"107","Resident Evil 2","PS","1998","Action","Virgin Interactive",1.88,1.47,2.02,0.45,5.82,89,13,920,364,"Capcom","M"
"108","Dragon Quest IX: Sentinels of the Starry Skies","DS","2009","Role-Playing","Nintendo",0.63,0.67,4.35,0.15,5.78,87,65,880,197,"Level 5","E10+"
"109","Tekken 2","PS","1996","Fighting","Sony Computer Entertainment",2.26,1.89,1.36,0.23,5.74,89,8,890,102,"Namco","T"
"110","Destiny","PS4","2014","Shooter","Activision",2.49,2.07,0.16,0.92,5.64,76,95,610,5380,"Bungie Software, Bungie","T"
"111","LEGO Star Wars: The Complete Saga","Wii","2007","Action","LucasArts",3.57,1.55,0,0.51,5.64,80,17,890,62,"Traveller's Tales","E10+"
"112","Cooking Mama","DS","2006","Simulation","505 Games",3.07,1.91,0.07,0.57,5.63,67,35,720,21,"Taito Corporation","E"
"113","Assassin's Creed II","PS3","2009","Action","Ubisoft",2.54,1.93,0.21,0.86,5.55,91,70,860,1202,"Ubisoft Montreal","M"
"114","Assassin's Creed","X360","2007","Adventure","Ubisoft",3.28,1.64,0.07,0.56,5.54,81,77,770,1074,"Ubisoft Montreal","M"
"115","Forza Motorsport 3","X360","2009","Racing","Microsoft Game Studios",2.99,1.9,0.1,0.5,5.49,92,90,800,516,"Turn 10","E"
"116","Super Mario Advance","GBA","2001","Platform","Nintendo",3.14,1.24,0.91,0.2,5.49,84,19,780,41,"Nintendo","E"
"117","Monster Hunter Freedom Unite","PSP","2008","Role-Playing","Capcom",0.47,0.55,4.13,0.34,5.48,81,48,870,124,"Capcom","T"
"118","Batman: Arkham City","PS3","2011","Action","Warner Bros. Interactive Entertainment",2.71,1.85,0.11,0.81,5.48,96,42,860,2162,"Rocksteady Studios","T"
"119","Grand Theft Auto V","XOne","2014","Action","Take-Two Interactive",2.81,2.19,0,0.47,5.48,97,14,790,764,"Rockstar North","M"
"120","Mario Kart: Super Circuit","GBA","2001","Racing","Nintendo",2.62,1.64,0.99,0.23,5.47,93,24,830,108,"Intelligent Systems","E"
"121","Crash Bandicoot: The Wrath of Cortex","PS2","2001","Platform","Universal Interactive",2.07,2.29,0.24,0.82,5.42,66,22,710,156,"Traveller's Tales","E"
"122","Call of Duty: World at War","PS3","2008","Shooter","Activision",2.73,1.83,0,0.83,5.39,85,45,760,409,"Treyarch","M"
"123","Uncharted 4: A Thief's End","PS4","2016","Shooter","Sony Computer Entertainment",1.85,2.5,0.19,0.85,5.38,93,113,790,7064,"Naughty Dog","T"
"124","Final Fantasy XIII","PS3","2009","Role-Playing","Square Enix",1.74,1.21,1.87,0.51,5.33,83,83,730,2483,"Square Enix","T"
"125","Final Fantasy IX","PS","2000","Role-Playing","SquareSoft",1.62,0.77,2.78,0.14,5.3,94,22,890,779,"SquareSoft","T"
"126","Assassin's Creed III","X360","2012","Action","Ubisoft",3.13,1.69,0.03,0.44,5.29,84,61,670,1196,"Ubisoft","M"
"127","Final Fantasy X-2","PS2","2003","Role-Playing","Electronic Arts",1.92,1.08,2.11,0.17,5.29,85,45,660,400,"SquareSoft","T"
"128","Call of Duty: Advanced Warfare","XOne","2014","Shooter","Activision",3.22,1.55,0.01,0.48,5.27,81,53,540,898,"Sledgehammer Games","M"
"129","Assassin's Creed II","X360","2009","Action","Ubisoft",3.11,1.55,0.08,0.51,5.26,90,82,880,1305,"Ubisoft Montreal","M"
"130","Madden NFL 2004","PS2","N/A","Sports","Electronic Arts",4.26,0.26,0.01,0.71,5.23,94,29,850,140,"EA Tiburon","E"
"131","New Super Mario Bros. U","WiiU","2012","Platform","Nintendo",2.3,1.34,1.27,0.32,5.22,84,70,810,733,"Nintendo","E"
"132","Dragon Quest VIII: Journey of the Cursed King","PS2","2004","Role-Playing","Square Enix",0.65,0.75,3.61,0.2,5.21,89,63,880,245,"Level 5","T"
"133","Professor Layton and the Curious Village","DS","2007","Puzzle","Nintendo",1.21,2.43,1.03,0.52,5.19,85,72,860,147,"Level 5","E"
"134","FIFA Soccer 13","X360","2012","Action","Electronic Arts",1.09,3.47,0.03,0.57,5.16,90,48,610,403,"Electronic Arts","E"
"135","Diablo III","PC","2012","Role-Playing","Activision",2.44,2.16,0,0.54,5.14,88,86,400,9629,"Blizzard Entertainment","M"
"136","Medal of Honor: Rising Sun","PS2","2003","Shooter","Electronic Arts",1.98,2.23,0.13,0.8,5.13,68,30,760,100,"EA LA","T"
"137","Guitar Hero II","PS2","2006","Misc","RedOctane",3.81,0.63,0,0.68,5.12,92,69,850,112,"Harmonix Music Systems","T"
"138","Fable III","X360","2010","Role-Playing","Microsoft Game Studios",3.59,1.08,0.05,0.38,5.1,80,88,650,604,"Lionhead Studios","M"
"139","Resident Evil 5","PS3","2009","Action","Capcom",1.96,1.41,1.08,0.64,5.09,84,76,750,667,"Capcom","M"
"140","The Legend of Zelda: Phantom Hourglass","DS","2007","Action","Nintendo",1.85,1.8,0.95,0.48,5.08,90,57,800,416,"Nintendo","E"
"141","FIFA Soccer 11","PS3","2010","Sports","Electronic Arts",0.61,3.28,0.06,1.12,5.07,89,51,800,233,"EA Sports","E"
"142","Resident Evil","PS","1996","Action","Virgin Interactive",2.05,1.16,1.11,0.73,5.05,91,8,900,266,"Capcom","M"
"143","Grand Theft Auto: Vice City Stories","PSP","2006","Action","Take-Two Interactive",1.7,1.99,0.16,1.18,5.03,86,50,800,150,"Rockstar Leeds","M"
"144","Tony Hawk's Pro Skater","PS","1999","Sports","Activision",3.42,1.38,0.02,0.2,5.02,92,18,920,69,"Neversoft Entertainment","T"
"145","Guitar Hero III: Legends of Rock","PS2","2007","Misc","Activision",3.49,0.01,0.01,1.48,4.98,82,24,820,46,"Neversoft Entertainment, BudCat","T"
"146","Link's Crossbow Training","Wii","2007","Shooter","Nintendo",3.05,1.17,0.29,0.46,4.98,68,34,710,47,"Nintendo","T"
"147","Fallout 3","X360","2008","Role-Playing","Bethesda Softworks",3.4,0.99,0.09,0.45,4.93,93,84,850,1655,"Bethesda Game Studios","M"
"148","Uncharted: Drake's Fortune","PS3","2007","Action","Sony Computer Entertainment",2.31,1.72,0.12,0.77,4.92,88,66,810,2306,"Naughty Dog, SCE/WWS","T"
"149","Madden NFL 06","PS2","2005","Sports","Electronic Arts",3.98,0.26,0.01,0.66,4.91,88,29,800,121,"EA Sports","E"
"150","StarCraft II: Wings of Liberty","PC","2010","Strategy","Activision",2.57,1.68,0,0.58,4.84,93,82,820,3052,"Blizzard Entertainment","T"
"151","Assassin's Creed","PS3","2007","Adventure","Ubisoft",1.91,2,0.09,0.82,4.82,81,40,730,769,"Ubisoft Montreal","M"
"152","God of War III","PS3","2010","Action","Sony Computer Entertainment",2.74,1.33,0.12,0.61,4.8,92,101,870,2633,"SCE Santa Monica","M"
"153","Crash Team Racing","PS","1999","Racing","Sony Computer Entertainment",2.57,1.57,0.44,0.21,4.79,88,20,900,233,"Naughty Dog","E"
"154","LEGO Star Wars: The Complete Saga","DS","2007","Action","LucasArts",2.83,1.48,0,0.45,4.76,80,9,540,46,"TT Fusion","E"
"155","Driver 2","PS","2000","Action","Atari",2.36,2.1,0.02,0.25,4.73,62,14,770,92,"Reflections Interactive","T"
"156","Batman: Arkham City","X360","2011","Action","Warner Bros. Interactive Entertainment",2.99,1.27,0.04,0.42,4.73,94,87,870,1472,"Rocksteady Studios","T"
"157","Tony Hawk's Pro Skater 2","PS","2000","Sports","Activision",3.05,1.41,0.02,0.2,4.68,98,19,770,299,"Neversoft Entertainment","T"
"158","The Lord of the Rings: The Two Towers","PS2","2002","Action","Electronic Arts",1.94,1.95,0.08,0.7,4.67,82,32,820,78,"Stormfront Studios","T"
"159","Tomb Raider","PS","1996","Action","Eidos Interactive",2.29,1.97,0.13,0.24,4.63,91,13,860,147,"Core Design Ltd.","T"
"160","Animal Crossing: City Folk","Wii","2008","Simulation","Nintendo",1.82,1.12,1.32,0.36,4.62,73,50,760,119,"Nintendo","E"
"161","Uncharted: The Nathan Drake Collection","PS4","2015","Action","Sony Computer Entertainment",2.07,1.71,0.08,0.76,4.62,86,78,810,1264,"Bluepoint Games","T"
"162","The Legend of Zelda: The Wind Waker","GC","2002","Action","Nintendo",2.6,0.99,0.89,0.13,4.6,96,80,890,968,"Nintendo","E"
"163","Guitar Hero III: Legends of Rock","Wii","2007","Misc","Activision",3.04,1.11,0,0.43,4.6,86,36,840,87,"Vicarious Visions","T"
"164","Luigi's Mansion: Dark Moon","3DS","2013","Action","Nintendo",1.8,1.39,1.11,0.29,4.59,86,74,840,458,"Next Level Games","E"
"165","Forza Motorsport 4","X360","2011","Racing","Microsoft Game Studios",2.08,1.97,0.06,0.46,4.57,91,83,820,617,"Turn 10","E"
"166","Madden NFL 2005","PS2","2004","Sports","Electronic Arts",4.18,0.26,0.01,0.08,4.53,91,30,790,78,"EA Tiburon","E"
"167","Guitar Hero III: Legends of Rock","X360","2007","Misc","Activision",3.19,0.91,0.01,0.42,4.53,85,69,790,165,"Neversoft Entertainment","T"
"168","Madden NFL 07","PS2","2006","Sports","Electronic Arts",3.63,0.24,0.01,0.61,4.49,84,29,820,39,"EA Sports","E"
"169","Halo 5: Guardians","XOne","2015","Shooter","Microsoft Game Studios",2.78,1.27,0.03,0.41,4.48,84,101,640,2438,"343 Industries","T"
"170","Spider-Man: The Movie","PS2","2002","Action","Activision",2.71,1.51,0.03,0.23,4.48,76,25,790,41,"Treyarch","E"
"171","Call of Duty: Infinite Warfare","PS4","2016","Shooter","Activision",1.61,2,0.15,0.71,4.46,77,82,340,1129,"Infinity Ward","M"
"172","God of War","PS2","2005","Action","Sony Computer Entertainment",2.71,1.29,0.02,0.43,4.45,94,75,890,997,"SCE Santa Monica","M"
"173","Splatoon","WiiU","2015","Shooter","Nintendo",1.54,1.18,1.46,0.26,4.43,81,88,850,1184,"Nintendo","E10+"
"174","Nintendo Land","WiiU","2012","Misc","Nintendo",2.52,1.11,0.46,0.33,4.42,77,61,790,471,"Nintendo","E10+"
"175","Tony Hawk's Pro Skater 3","PS2","2001","Sports","Activision",2.66,1.29,0.01,0.46,4.41,97,34,750,298,"Neversoft Entertainment","T"
"176","Winning Eleven: Pro Evolution Soccer 2007","PS2","2006","Sports","Konami Digital Entertainment",0.1,2.39,1.05,0.86,4.39,86,19,890,33,"Konami","E"
"177","The Elder Scrolls IV: Oblivion","X360","2006","Role-Playing","Take-Two Interactive",2.82,1.03,0.13,0.4,4.38,94,90,870,1109,"Bethesda Softworks","M"
"178","Need for Speed: Most Wanted","PS2","2005","Racing","Electronic Arts",2.03,1.79,0.08,0.47,4.37,82,36,910,137,"EA Canada","T"
"179","Michael Jackson: The Experience","Wii","2010","Misc","Ubisoft",2.64,1.33,0.01,0.39,4.36,56,37,830,31,"Ubisoft Paris, Ubisoft Montpellier","E10+"
"180","Resistance: Fall of Man","PS3","2006","Shooter","Sony Computer Entertainment",1.74,1.72,0.14,0.75,4.34,86,70,810,715,"Insomniac Games","M"
"181","Kingdom Hearts II","PS2","2005","Role-Playing","Square Enix",2.2,0.58,1.38,0.17,4.33,87,64,900,766,"Square Enix","E10+"
"182","Super Mario 3D World","WiiU","2013","Platform","Nintendo",2.11,1.16,0.73,0.32,4.32,93,83,900,1607,"Nintendo","E"
"183","Fable II","X360","2008","Role-Playing","Microsoft Game Studios",2.51,1.24,0.11,0.41,4.27,89,95,650,2423,"Lionhead Studios","M"
"184","Namco Museum","GBA","2001","Misc","Namco Bandai Games",3,1.11,0.05,0.07,4.24,79,10,730,6,"Mass Media","E"
"185","Batman: Arkham Asylum","PS3","2009","Action","Eidos Interactive",2.24,1.31,0.07,0.61,4.23,91,70,890,1122,"Rocksteady Studios","T"
"186","Metal Gear Solid 3: Snake Eater","PS2","2004","Action","Konami Digital Entertainment",1.46,0,0.83,1.93,4.23,91,68,930,955,"KCEJ","M"
"187","Assassin's Creed: Revelations","PS3","2011","Action","Ubisoft",1.41,2.01,0.1,0.7,4.22,80,39,750,613,"Ubisoft Montreal","M"
